SBABranchID	SBADistrictOffice	CongressionalDistrict
212	SPOKANE BRANCH OFFICE 	05
213	GEORGIA DISTRICT OFFICE 	13
214	HOUSTON DISTRICT OFFICE 	18
215	ILLINOIS DISTRICT OFFICE 	05
216	BALTIMORE DISTRICT OFFICE 	06
217	NEBRASKA DISTRICT OFFICE 	02
218	COLORADO DISTRICT OFFICE 	06
219	SAN FRANCISCO DISTRICT OFFICE 	05
220	TENNESSEE DISTRICT OFFICE 	08
221	LOS ANGELES DISTRICT OFFICE 	26
222	NORTH CAROLINA DISTRICT OFFICE 	09
223	COLUMBUS DISTRICT OFFICE 	12
224	SAN FRANCISCO DISTRICT OFFICE 	15
225	INDIANA DISTRICT OFFICE 	07
226	EL PASO DISTRICT OFFICE 	16
227	NEVADA DISTRICT OFFICE 	02
228	OKLAHOMA DISTRICT OFFICE 	03
229	LOS ANGELES DISTRICT OFFICE 	38
230	NORTH FLORIDA DISTRICT OFFICE 	07
231	SAN FRANCISCO DISTRICT OFFICE 	03
232	WYOMING DISTRICT OFFICE 	00
233	SPRINGFIELD BRANCH OFFICE 	01
234	SOUTH FLORIDA DISTRICT OFFICE 	15
235	PHILADELPHIA DISTRICT OFFICE 	05
236	BALTIMORE DISTRICT OFFICE 	02
237	CLEVELAND DISTRICT OFFICE 	07
238	COLUMBUS DISTRICT OFFICE 	06
239	NORTH FLORIDA DISTRICT OFFICE 	06
240	SYRACUSE DISTRICT OFFICE 	23
241	NEVADA DISTRICT OFFICE 	04
242	ARKANSAS DISTRICT OFFICE 	04
243	PHILADELPHIA DISTRICT OFFICE 	03
244	NEW JERSEY DISTRICT OFFICE 	04
245	ALABAMA DISTRICT OFFICE 	04
246	SANTA ANA DISTRICT OFFICE 	39
247	GEORGIA DISTRICT OFFICE 	11
248	SANTA ANA DISTRICT OFFICE 	42
249	DALLAS / FT WORTH DISTRICT OFFICE 	12
250	NORTH CAROLINA DISTRICT OFFICE 	01
251	MISSISSIPPI DISTRICT OFFICE 	04
252	SACRAMENTO DISTRICT OFFICE 	04
253	NEW JERSEY DISTRICT OFFICE 	02
254	BUFFALO DISTRICT OFFICE 	26
255	NEW JERSEY DISTRICT OFFICE 	01
256	NEW YORK DISTRICT OFFICE 	03
257	ARIZONA DISTRICT OFFICE 	02
258	MICHIGAN DISTRICT OFFICE 	06
259	PORTLAND DISTRICT OFFICE 	04
260	SAN DIEGO DISTRICT OFFICE 	52
261	LOUISIANA DISTRICT OFFICE 	01
262	RHODE ISLAND DISTRICT OFFICE 	01
263	PORTLAND DISTRICT OFFICE 	02
264	LOS ANGELES DISTRICT OFFICE 	47
265	NEW YORK DISTRICT OFFICE 	06
266	ILLINOIS DISTRICT OFFICE 	10
267	LUBBOCK DISTRICT OFFICE 	13
268	ILLINOIS DISTRICT OFFICE 	17
269	SYRACUSE DISTRICT OFFICE 	21
270	NORTH FLORIDA DISTRICT OFFICE 	09
271	SOUTH FLORIDA DISTRICT OFFICE 	08
272	KENTUCKY DISTRICT OFFICE 	05
273	SOUTH FLORIDA DISTRICT OFFICE 	23
274	TENNESSEE DISTRICT OFFICE 	01
275	WASHINGTON DISTRICT OFFICE 	08
276	INDIANA DISTRICT OFFICE 	06
277	COLORADO DISTRICT OFFICE 	05
278	PHILADELPHIA DISTRICT OFFICE 	09
279	MICHIGAN DISTRICT OFFICE 	05
280	SANTA ANA DISTRICT OFFICE 	49
281	MASSACHUSETTS DISTRICT OFFICE 	05
282	LOS ANGELES DISTRICT OFFICE 	25
283	COLUMBUS DISTRICT OFFICE 	08
284	PHILADELPHIA DISTRICT OFFICE 	07
285	SAN FRANCISCO DISTRICT OFFICE 	17
286	SOUTH FLORIDA DISTRICT OFFICE 	20
