BankID	BankName	BankStreet	BankCity	BankState	BankZip
9490	United Texas CU	5500 UTSA Blvd	SAN ANTONIO	TX	78249
9491	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
9492	First Chicago Bank & Trust	1040 W Randolph St	CHICAGO	IL	60607
9493	"Bremer Bank, National Association"	372 St. Peter St	SAINT PAUL	MN	55102
9494	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9495	"TD Bank, National Association"	2035 Limestone Rd	WILMINGTON	DE	19808
9496	Newtown Savings Bank	39 Main St	NEWTOWN	CT	06470
9497	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
9498	First Financial Bank	214 N Washington	EL DORADO	AR	71730
9499	Trustmark National Bank	248 E Capitol St	JACKSON	MS	39201
9500	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
9501	"Horizon Bank, SSB"	"600 Congress, Ste 400"	AUSTIN	TX	78701
9502	Hanmi Bank	"3660 Wilshire Blvd, PH-A"	LOS ANGELES	CA	90010
9503	"Santander Bank, National Association"	"824 N Market St, Ste 100"	WILMINGTON	DE	19801
9504	BMO Harris Bank National Association	111 W Monroe St	CHICAGO	IL	60603
9505	Eastern Bank	265 Franklin St	BOSTON	MA	02110
9506	Atlantic Union Bank	"1051 E Cary St, Ste 103"	RICHMOND	VA	23219
9507	Umpqua Bank	"445 SE Main St, First Fl"	ROSEBURG	OR	97470
9508	Choice Financial Group	4501 23rd Ave South	FARGO	ND	58104
9509	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9510	"Associated Bank, National Association"	200 N Adams St	GREEN BAY	WI	54301
9511	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9512	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9513	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
9514	Pacific Western Bank	"9701 Wilshire Blvd, Ste 700"	BEVERLY HILLS	CA	90212
9515	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9516	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
9517	Pacific Premier Bank	"17901 Von Karman Ave, Ste 1200"	IRVINE	CA	92614
9518	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
9519	"Bank of America, National Association"	"100 N Tryon St, Ste 170"	CHARLOTTE	NC	28202
9520	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9521	"Santander Bank, National Association"	"824 N Market St, Ste 100"	WILMINGTON	DE	19801
9522	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9523	"Santander Bank, National Association"	"824 N Market St, Ste 100"	WILMINGTON	DE	19801
9524	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
9525	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
9526	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9527	"BIZCapital BIDCO II, LLC"	909 Poydras St	NEW ORLEANS	LA	70112
9528	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9529	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9530	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9531	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9532	"Alaska Growth Capital BIDCO, Inc."	3900 C St.	ANCHORAGE	AK	99503
9533	Commercial Bank	6710 Cumberland Gap Pkwy	HARROGATE	TN	37752
9534	MountainOne Bank	93 Main St	NORTH ADAMS	MA	01247
9535	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9536	Plumas Bank	336 W Main St	QUINCY	CA	95971
9537	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9538	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9539	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9540	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
9541	Hanmi Bank	"3660 Wilshire Blvd, PH-A"	LOS ANGELES	CA	90010
9542	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9543	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9544	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9545	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9546	Hancock Whitney Bank	2510 14th St	GULFPORT	MS	39501
9547	United Community Bank	177 Hwy 515 E	BLAIRSVILLE	GA	30512
9548	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
9549	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9550	Granite FCU	3675 S 900 East	SALT LAKE CITY	UT	84106
9551	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9552	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9553	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9554	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9555	Granite FCU	3675 S 900 East	SALT LAKE CITY	UT	84106
9556	MountainOne Bank	93 Main St	NORTH ADAMS	MA	01247
9557	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
9558	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9559	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9560	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
9561	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9562	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9563	Northeast Bank	500 Canal St	LEWISTON	ME	04240
9564	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9565	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9566	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9567	Farmers & Merchants Bank	165 New Market Rd	TIMBERVILLE	VA	22853
9568	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9569	First Fidelity Bank	"5100 N Classen Blvd, Ste 500"	OKLAHOMA CITY	OK	73118
9570	Farmers State Bank	103 Main St	VICTOR	MT	59875
9571	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9572	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
9573	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9574	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9575	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9576	Busey Bank	100 W University Ave	CHAMPAIGN	IL	61820
9577	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9578	Central Pacific Bank	220 S King St	HONOLULU	HI	96813
9579	"Santander Bank, National Association"	"824 N Market St, Ste 100"	WILMINGTON	DE	19801
9580	Mountain America FCU	9800 S Monroe St	SANDY	UT	84070
9581	Union Bank	20 Lower Main St	MORRISVILLE	VT	05661
9582	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9583	"Citizens Bank, National Association"	1 Citizens Plaza	PROVIDENCE	RI	02903
9584	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9585	Glacier Bank	202 Main St	KALISPELL	MT	59901
9586	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
9587	Northrim Bank	3111 'C' St	ANCHORAGE	AK	99503
9588	HarborOne Bank	770 Oak St	BROCKTON	MA	02301
9589	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9590	"Santander Bank, National Association"	"824 N Market St, Ste 100"	WILMINGTON	DE	19801
9591	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9592	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9593	Bank of Santa Clarita	23780 Magic Mountain Pkwy	SANTA CLARITA	CA	91355
9594	Town and Country Bank	1925 S MacArthur Blvd	SPRINGFIELD	IL	62704
9595	Northrim Bank	3111 'C' St	ANCHORAGE	AK	99503
9596	Coulee Bank	1516 Losey Blvd South	LA CROSSE	WI	54601
9597	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9598	Citizens State Bank	375 Stageline Rd	HUDSON	WI	54016
9599	Trustmark National Bank	248 E Capitol St	JACKSON	MS	39201
9600	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9601	Old National Bank	One Main St	EVANSVILLE	IN	47708
9602	First Financial Bank	214 N Washington	EL DORADO	AR	71730
9603	Northway Bank	9 Main St	BERLIN	NH	03570
9604	Bank of Idaho	399 N Capital Ave	IDAHO FALLS	ID	83402
9605	Diamond Bank	319 E Main St	MURFREESBORO	AR	71958
9606	"JPMorgan Chase Bank, National Association"	1111 Polaris Pkwy	COLUMBUS	OH	43240
9607	Citizens Bank & Trust Co.	3110 Alma Hwy	VAN BUREN	AR	72956
9608	Bank of the West	180 Montgomery St	SAN FRANCISCO	CA	94104
9609	Granite FCU	3675 S 900 East	SALT LAKE CITY	UT	84106
9610	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
9611	"KEB Hana Bank USA, National Association"	201 Main St	FORT LEE	NJ	07024
9612	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
9613	Northway Bank	9 Main St	BERLIN	NH	03570
9614	Diamond Bank	319 E Main St	MURFREESBORO	AR	71958
9615	"PNC Bank, National Association"	222 Delaware Ave	WILMINGTON	DE	19801
9616	Sunwest Bank	"2050 Main St, Ste 300"	IRVINE	CA	92614
9617	First Financial Bank	214 N Washington	EL DORADO	AR	71730
9618	Community First Bank	6401 W Clearwater Ave	KENNEWICK	WA	99336
9619	Commerce Bank	1000 Walnut St	KANSAS CITY	MO	64106
9620	KeyBank National Association	127 Public Sq	CLEVELAND	OH	44114
9621	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9622	Manufacturers and Traders Trust Company	"One M & T Plaza, 15th Fl"	BUFFALO	NY	14203
9623	Minnesota Bank & Trust	"7701 France Ave S, Ste 110"	EDINA	MN	55435
9624	BBVA USA	15 S 20th St	BIRMINGHAM	AL	35233
9625	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9626	Stock Yards Bank & Trust Company	1040 E Main St	LOUISVILLE	KY	40206
9627	Cornerstone Bank	"6000 Midlantic Dr, Ste 120S"	MOUNT LAUREL	NJ	08054
9628	Southwest Missouri Bank	300 W 3rd St	CARTHAGE	MO	64836
9629	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
9630	First Financial Bank	255 E Fifth St	CINCINNATI	OH	45202
9631	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
9632	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9633	Truist Bank d/b/a Branch Banking & Trust Co	214 N Tryon St	CHARLOTTE	NC	28202
9634	"Zions Bank, A Division of"	1 S Main St	SALT LAKE CITY	UT	84133
9635	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9636	The Huntington National Bank	17 S High St	COLUMBUS	OH	43215
9637	First Community CU	17151 Chesterfield Airport Rd	CHESTERFIELD	MO	63005
